Neighborhood,Adult_Population_25_Over,Total_Bachelors_Degree,Bachelors_Degree_Pct,Total_Households,Households_With_Wage_Income,Wage_Income_Pct,Population_Below_Poverty,Poverty_Rate
Spring Garden,595.0,32.0,5.38,382.0,263.0,68.85,108.0,13.9
Spring Hill-City View,1615.0,182.0,11.27,1063.0,638.0,60.02,786.0,33.01
Squirrel Hill North,5494.0,1346.0,24.5,3413.0,2652.0,77.7,1138.0,13.74
Squirrel Hill South,11164.0,2941.0,26.34,6918.0,4850.0,70.11,2242.0,15.03
St. Clair,163.0,8.0,4.91,104.0,79.0,75.96,74.0,24.58
Stanton Heights,3683.0,723.0,19.63,2070.0,1488.0,71.88,835.0,16.67
Strip District,611.0,263.0,43.04,478.0,417.0,87.24,33.0,4.79
Summer Hill,915.0,167.0,18.25,524.0,439.0,83.78,81.0,6.93
Swisshelm Park,971.0,190.0,19.57,570.0,413.0,72.46,51.0,3.97
Terrace Village,924.0,11.0,1.19,930.0,496.0,53.33,948.0,58.09
Troy Hill,1874.0,267.0,14.25,1179.0,843.0,71.5,332.0,13.83
Upper Hill,1351.0,171.0,12.66,926.0,560.0,60.48,528.0,27.37
Upper Lawrenceville,2028.0,467.0,23.03,1262.0,937.0,74.25,687.0,24.42
West End,112.0,4.0,3.57,120.0,99.0,82.5,53.0,19.27
West Oakland,772.0,161.0,20.85,592.0,371.0,62.67,623.0,47.3
Westwood,2601.0,535.0,20.57,1514.0,1255.0,82.89,558.0,15.72
Windgap,1026.0,54.0,5.26,660.0,457.0,69.24,147.0,9.09
