Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
Homewood West,43,636.0,114.38968485,242.0,82.7345151675,3.0,10.7703296143,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.1421356237,0.0,14.1421356237,12.0,17.2046505341,12.0,13.6014705087,111.0,69.6419413859,6.0,14.1421356237,38.0,33.6154726279,22.0,30.6757233004,24.0,33.5261092285,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,394.0,94.3716058992,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,10.0,19.7230829233,19.0,25.2982212813,14.0,21.4709105536,0.0,14.1421356237,194.0,60.207972894,20.0,23.769728648,61.0,46.872166581,63.0,55.3263047745,7.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,1.0,10.4403065089
Knoxville,44,2535.0,392.23207416,1078.0,214.063074817,28.0,37.2155881319,0.0,24.4948974278,0.0,24.4948974278,33.0,56.6038867924,13.0,30.6757233004,5.0,24.1039415864,12.0,31.3687742827,57.0,48.8057373677,503.0,158.883605196,59.0,64.3816744113,91.0,76.5636989702,123.0,76.5832879942,75.0,54.4150714417,57.0,55.5787729264,22.0,33.2565782966,0.0,24.4948974278,1457.0,255.192084517,9.0,26.9258240357,10.0,28.0891438104,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,13.0,29.9999999999,91.0,79.7496081495,51.0,43.1972221329,702.0,204.699780166,163.0,82.9337084664,183.0,103.348923555,108.0,64.5445582524,39.0,31.7175030543,79.0,78.0768851838,0.0,24.4948974278,9.0,26.9258240357
Larimer,45,1096.0,203.985293588,395.0,98.6863719062,11.0,31.2409987036,17.0,28.0,12.0,32.0780298647,0.0,20.0,10.0,17.0,20.0,28.0000000001,15.0,22.6495033058,0.0,20.0,223.0,83.2286008533,4.0,18.3303027798,57.0,37.0540146273,20.0,20.8086520467,6.0,19.0787840283,0.0,20.0,0.0,20.0,0.0,20.0,701.0,144.716965142,0.0,20.0,0.0,20.0,12.0,21.0713075057,25.0,49.1528229098,3.0,18.0277563773,16.0,20.5182845287,55.0,53.8052042093,7.0,20.0,302.0,83.7257427558,24.0,24.4948974278,99.0,37.8681924575,112.0,46.9680742632,43.0,28.9827534924,3.0,18.0277563773,0.0,20.0,0.0,20.0
Lincoln Place,46,2565.0,370.405183549,1311.0,264.949051706,16.0,31.2409987036,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,12.0,26.9072480942,19.0,27.0739727414,0.0,22.360679775,658.0,210.824571623,93.0,52.8677595515,148.0,60.5640157189,161.0,80.249610591,168.0,86.296002225,28.0,31.4483703871,8.0,23.8537208837,0.0,22.360679775,1254.0,166.550292705,29.0,36.5650105975,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,9.0,25.0,20.0,27.0739727413,34.0,27.5499546278,95.0,57.9741321626,597.0,123.462544928,39.0,27.5680975041,118.0,56.6215506676,161.0,71.7356257379,118.0,56.3116329012,25.0,33.6005952328,9.0,23.8537208837,0.0,22.360679775
Lincoln-Lemington-Belmar,47,3375.0,396.921906677,1617.0,311.467494292,30.0,35.3977400409,11.0,24.5356882928,34.0,35.2987251895,30.0,37.2155881319,33.0,37.549966711,46.0,38.2099463491,85.0,50.3388517946,32.0,39.5727178749,745.0,240.210324508,61.0,50.8428952756,212.0,107.540689974,62.0,46.0543157586,160.0,73.1573646326,59.0,39.5979797464,4.0,23.1516738056,13.0,24.9198715887,1758.0,194.725447745,22.0,24.4744765011,10.0,25.3771550809,8.0,25.3771550809,8.0,23.3452350598,8.0,25.8650343127,38.0,31.7804971642,45.0,32.1869538789,22.0,24.5967477525,557.0,124.169239348,108.0,50.7543101618,405.0,119.787311515,154.0,69.5341642648,240.0,84.4866853416,120.0,68.4032162986,4.0,23.1516738056,9.0,23.0217288664
Lower Lawrenceville,48,1942.0,227.692775467,904.0,164.146276229,7.0,14.8660687473,0.0,14.1421356237,4.0,13.4536240471,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,9.0,15.6204993518,257.0,76.1577310586,84.0,55.7584074378,174.0,96.8968523741,29.0,28.7923600978,262.0,99.0353472251,46.0,30.4795013083,11.0,18.8679622641,5.0,13.4536240471,1038.0,140.185591271,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,17.0,19.4164878389,7.0,15.6204993518,52.0,48.0520551069,8.0,15.6204993518,27.0,24.7588368063,262.0,73.2461603089,73.0,38.8973006776,138.0,68.0955211449,104.0,63.41135545,208.0,77.0778826902,124.0,67.7421582178,11.0,20.591260282,7.0,14.8660687473
Manchester,49,1415.0,214.462117867,656.0,148.219431924,13.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,16.4012194669,2.0,10.7703296143,0.0,14.1421356237,8.0,15.6204993518,159.0,57.3846669416,39.0,29.7321374946,137.0,59.5482997238,43.0,31.9061122671,205.0,113.648581161,31.0,24.1660919472,0.0,14.1421356237,10.0,16.4012194669,759.0,131.228807813,10.0,18.8679622641,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,19.0,29.7321374946,0.0,14.1421356237,27.0,24.1867732449,9.0,18.8679622641,138.0,64.2884126418,97.0,51.4781507049,132.0,61.619802012,133.0,87.800911157,100.0,48.6004115209,75.0,40.0,10.0,18.8679622641,0.0,14.1421356237
Marshall-Shadeland,50,4834.0,1286.02915986,3536.0,1260.71606637,40.0,29.206163733,0.0,22.360679775,26.0,25.2388589282,91.0,133.585178819,88.0,134.49535308,391.0,158.748228337,343.0,400.866561339,59.0,41.9761837236,1709.0,446.049324627,320.0,139.014387744,205.0,94.2337519151,122.0,135.3587825,108.0,54.3139024559,28.0,27.0924343684,0.0,22.360679775,6.0,22.360679775,1298.0,197.840845125,20.0,32.0156211872,0.0,22.360679775,7.0,22.360679775,8.0,23.3238075794,8.0,24.4131112314,109.0,88.6566410372,67.0,61.4410286373,10.0,25.0,431.0,115.987068245,122.0,55.8390544333,135.0,66.4680374315,178.0,76.9805170156,125.0,70.8449010162,70.0,41.1096095821,8.0,24.4131112314,0.0,22.360679775
Middle Hill,51,1293.0,197.124326252,453.0,122.641754717,12.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,5.0,15.779733838,33.0,43.3704968844,13.0,20.6155281281,15.0,18.4932420089,21.0,19.7230829233,133.0,62.42595614,70.0,50.0699510685,94.0,53.9073278878,6.0,16.2480768092,44.0,76.0394634384,7.0,16.7630546142,0.0,17.3205080757,0.0,17.3205080757,840.0,132.81942629,11.0,22.1133443875,9.0,19.8997487421,0.0,17.3205080757,40.0,32.4653661615,30.0,34.0734500748,22.0,18.547236991,62.0,50.5766744656,11.0,15.0996688706,281.0,77.3369252039,62.0,38.2230297072,136.0,61.725197448,97.0,76.5375724727,41.0,34.146742158,31.0,28.3901391332,7.0,17.3205080757,0.0,17.3205080757
Morningside,52,2542.0,297.588642257,1191.0,182.087890866,25.0,32.9241552663,0.0,20.0,6.0,20.0,21.0,26.0959767014,0.0,20.0,22.0,28.0000000001,18.0,23.7697286481,37.0,43.9658958739,414.0,129.352232296,118.0,73.952687578,92.0,50.931326313,61.0,36.633318168,212.0,65.9166139907,114.0,61.7575906266,19.0,26.4575131106,32.0,28.5832118559,1351.0,179.415718375,43.0,34.6121365997,0.0,20.0,6.0,20.5182845286,19.0,28.0,0.0,20.0,70.0,62.1691241695,0.0,20.0,22.0,29.5972971739,439.0,110.927904515,61.0,43.4050688284,124.0,69.4622199472,58.0,55.0817574157,272.0,85.8487041253,114.0,54.6808924579,79.0,54.083269132,44.0,33.4514573674
Mount Oliver Borough,53,1905.0,277.248985571,872.0,161.932084529,20.0,27.2213151776,6.0,20.0,32.0,44.7437146424,18.0,20.5182845287,7.0,20.5182845286,95.0,62.465990747,0.0,20.0,20.0,24.4948974278,326.0,108.268185539,48.0,33.8526217597,138.0,67.1490878568,80.0,49.3862328995,58.0,46.184412955,9.0,22.2710574513,6.0,20.5182845287,9.0,23.5796522451,1033.0,170.032349863,32.0,28.5832118559,21.0,37.2692903071,8.0,21.6564078277,8.0,22.2710574513,34.0,45.4312667664,61.0,54.055527007,27.0,29.206163733,20.0,26.0959767014,357.0,95.7026645397,92.0,55.3714727996,189.0,94.0797534011,75.0,54.055527007,44.0,31.064449134,65.0,48.590122453,0.0,20.0,0.0,20.0
Mount Washington,54,6467.0,428.903252494,3235.0,317.841155296,16.0,29.9999999999,0.0,29.9999999999,2.0,28.5657137141,7.0,29.7489495612,52.0,47.6864760703,14.0,30.8220700149,108.0,84.7761758986,43.0,50.9313263129,745.0,143.533968104,111.0,69.7423830966,301.0,87.800911157,322.0,103.329569824,965.0,221.506207588,390.0,115.078234258,99.0,61.7008914036,60.0,42.8368999812,3232.0,284.99298237,31.0,35.2278299075,15.0,32.4961536184,0.0,29.9999999999,25.0,38.1706693679,43.0,39.1152144312,60.0,42.9068759058,51.0,51.4003891037,27.0,35.8608421541,943.0,164.842348928,171.0,68.6148671936,375.0,111.575086824,348.0,111.660198818,753.0,186.30083199,280.0,93.8988817825,40.0,42.5205832509,70.0,46.8508271005
Mt. Oliver,55,381,81,156,43,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,92,37,10,10,17,21,27,17,0,10,5,8,0,10,0,10,225,74,2,4,0,10,0,10,0,10,0,10,6,8,0,10,0,10,100,60,10,15,43,38,50,38,14,12,0,10,0,10,0,10
New Homestead,56,676,60,296,37,13,14,0,10,0,10,0,10,0,10,5,7,14,14,6,9,74,40,0,10,18,16,34,25,90,34,38,25,4,7,0,10,380,47,6,10,0,10,0,10,0,10,0,10,6,10,0,10,8,10,136,36,14,17,51,26,48,25,49,32,62,32,0,10,0,10
North Oakland,57,2937.0,330.998489423,1421.0,234.616708697,4.0,23.748684174,0.0,24.4948974278,12.0,29.3428015023,0.0,24.4948974278,9.0,26.9258240357,45.0,69.2242731995,6.0,22.1133443875,56.0,52.0192272146,72.0,47.1380949975,11.0,28.0891438104,89.0,54.6717477313,38.0,39.912404087,390.0,141.732141732,349.0,135.462171842,172.0,70.2139587262,168.0,74.6659226154,1516.0,187.432654573,49.0,65.9090282131,0.0,24.4948974278,12.0,30.0,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,34.0,45.4862616621,0.0,24.4948974278,147.0,57.1139212452,64.0,36.4965751817,167.0,84.982351109,15.0,32.0780298647,431.0,111.812342789,417.0,113.903467901,79.0,58.137767415,101.0,66.0378679244
North Shore,58,159.0,48.0520551069,91.0,37.3630833845,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,12.0,18.0277563773,0.0,14.1421356237,9.0,16.4012194669,25.0,24.1660919472,9.0,16.4012194669,25.0,26.0,11.0,14.1421356237,68.0,28.7923600978,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,18.8679622641,7.0,14.1421356237,6.0,14.1421356237,0.0,14.1421356237,31.0,21.4709105536,8.0,16.4012194669,7.0,14.8660687473,0.0,14.1421356237
Northview Heights,59,551,117,206,54,1,11,0,10,0,10,0,10,0,10,16,20,21,29,0,10,103,41,0,10,13,14,40,27,3,6,9,13,0,10,0,10,345,96,0,10,0,10,0,10,19,30,2,6,62,38,19,17,12,20,118,62,4,8,27,37,58,47,0,10,0,10,0,10,24,23
Oakwood,60,907,109,351,60,0,10,0,10,0,10,0,10,20,22,0,10,0,10,17,26,94,37,32,33,27,20,64,40,78,30,19,16,0,10,0,10,556,87,7,11,0,10,21,21,4,8,5,9,6,9,13,15,5,9,246,73,47,37,29,19,70,37,53,28,34,22,10,12,6,9
Overbrook,61,2816.0,269.466138874,1403.0,171.554656013,11.0,23.3238075794,0.0,22.360679775,12.0,26.2488094968,21.0,21.9544984,14.0,24.0208242989,21.0,25.8843582111,44.0,33.9116499157,26.0,25.9422435421,537.0,107.051389529,109.0,44.1701256507,206.0,85.2525659438,191.0,71.4842640027,161.0,50.2493781056,38.0,25.099800796,5.0,21.9317121995,7.0,22.825424421,1413.0,143.174718439,3.0,20.6155281281,0.0,22.360679775,6.0,21.9317121995,7.0,22.360679775,8.0,21.0950231097,43.0,31.8904374382,37.0,28.1069386451,22.0,35.2278299076,633.0,111.691539518,96.0,42.1900462194,119.0,57.3585215988,203.0,66.1135387042,144.0,55.641710973,79.0,38.275318418,6.0,21.9317121995,7.0,22.825424421
Perry North,62,2864.0,294.025509098,1458.0,167.002993985,17.0,33.5410196625,1.0,22.7156333832,15.0,30.6757233004,0.0,24.4948974278,5.0,24.1039415864,35.0,32.939338184,31.0,25.9615099715,11.0,22.9782505862,411.0,92.379651439,102.0,50.0599640431,195.0,82.7405583738,68.0,35.7351367704,362.0,99.0252493054,153.0,59.4558659848,33.0,30.8220700148,19.0,23.7907545067,1406.0,172.336879396,7.0,24.4948974278,1.0,22.7156333832,3.0,23.4307490277,9.0,26.3818119165,6.0,23.748684174,5.0,23.7486841741,58.0,47.1805044483,19.0,28.3725219182,372.0,76.9935062196,26.0,25.7099202644,269.0,113.727745076,120.0,72.7804918916,326.0,83.6899038117,159.0,53.8423625038,8.0,22.0227155455,18.0,24.1453929353
Perry South,63,2325.0,290.798899584,987.0,189.156020259,3.0,24.9198715887,0.0,24.4948974278,0.0,24.4948974278,11.0,30.0,14.0,22.7376340017,0.0,24.4948974278,48.0,47.8016736109,21.0,30.7245829915,339.0,120.892514243,72.0,43.7149859887,173.0,74.5117440408,78.0,70.8449010163,196.0,82.2678552048,16.0,23.9582971014,6.0,24.4948974278,10.0,26.9258240357,1338.0,186.571702034,2.0,22.9128784748,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,29.0,46.7011777153,60.0,59.7411081249,25.0,35.7910603363,11.0,23.8537208837,597.0,122.143358395,31.0,29.5634909982,119.0,58.5234995536,212.0,105.290075506,153.0,71.6100551599,76.0,46.7546789103,8.0,25.8650343127,15.0,26.0192236625
Point Breeze,64,4022.0,264.673383625,1901.0,162.609962795,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,16.0,28.1069386451,134.0,61.2943716828,25.0,29.4108823396,131.0,59.8498120299,65.0,46.9467783772,622.0,117.664778078,385.0,87.3899307701,228.0,55.4526825321,295.0,73.566296631,2121.0,169.46681091,0.0,26.4575131106,3.0,25.7681974535,0.0,26.4575131106,29.0,48.6209831246,0.0,26.4575131106,9.0,27.7308492478,18.0,31.6227766016,8.0,27.276363394,200.0,77.1167945393,69.0,36.592348927,191.0,74.9533188058,81.0,45.8584779512,517.0,99.7396611183,548.0,102.249694376,203.0,78.6384130054,245.0,67.7495387437
Point Breeze North,65,1527.0,236.611495917,686.0,140.602275942,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,13.0,25.3179778023,63.0,72.0138875496,9.0,16.2480768093,13.0,24.4948974278,74.0,46.8294778959,318.0,105.171288858,49.0,40.4598566483,58.0,44.0908153701,89.0,47.4447046571,841.0,189.857841555,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,119.0,71.707740168,10.0,20.6155281281,116.0,80.6659779585,142.0,97.2985097522,176.0,92.8708781051,177.0,84.6817571853,0.0,17.3205080757,101.0,57.4543296889
Polish Hill,66,1169.0,188.175450046,627.0,150.880747612,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,13.0,16.4012194669,0.0,14.1421356237,11.0,15.6204993518,13.0,17.2046505341,0.0,14.1421356237,187.0,59.6657355607,18.0,15.8113883008,89.0,47.6340214553,45.0,27.4590604355,180.0,126.126920203,53.0,37.3630833845,13.0,18.0277563773,5.0,12.8062484749,542.0,91.8095855562,0.0,14.1421356237,0.0,14.1421356237,10.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,5.0,12.2065556157,25.0,24.0416305603,201.0,60.141499815,20.0,15.5563491861,94.0,41.1096095822,27.0,24.1660919472,96.0,49.3963561409,25.0,17.88854382,7.0,15.6204993518,25.0,21.6333076528
Regent Square,67,774,53,369,41,0,10,0,10,0,10,0,10,7,9,0,10,0,10,0,10,14,11,0,10,52,29,6,10,111,44,102,37,29,20,48,32,405,37,8,11,0,10,0,10,0,10,7,9,0,10,0,10,0,10,54,24,6,10,4,6,32,33,107,42,87,33,65,35,35,30
Ridgemont,68,246,84,122,58,0,10,0,10,0,10,0,10,0,10,10,16,5,8,8,12,19,18,22,22,32,48,6,10,20,23,0,10,0,10,0,10,124,58,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,12,29,22,0,10,21,26,3,5,42,37,22,25,0,10,0,10
Shadyside,69,9414.0,684.999270073,4689.0,523.848260473,52.0,52.1727898429,1.0,36.1109401706,0.0,37.4165738677,60.0,76.4133496191,7.0,35.7770876399,0.0,37.4165738677,23.0,45.2769256906,15.0,38.9871773793,243.0,117.796434581,72.0,63.6945837572,270.0,151.627833857,238.0,107.925900505,1510.0,365.684290065,949.0,197.962117589,590.0,135.332922823,659.0,162.643782543,4725.0,404.699888807,23.0,40.4103947024,7.0,39.0512483796,16.0,39.7114593033,14.0,38.209946349,13.0,37.6430604494,17.0,41.0000000001,11.0,38.8072158238,5.0,36.551333765,423.0,119.306328417,48.0,47.8330429724,211.0,86.3481325797,118.0,67.4833312754,1606.0,252.85569007,1339.0,237.065391823,346.0,116.318528189,528.0,165.918654768
Sheraden,70,3321.0,338.300162578,1394.0,209.718859429,16.0,30.6757233004,0.0,24.4948974278,7.0,25.3771550809,12.0,28.7054001889,0.0,24.4948974278,9.0,25.8650343127,60.0,43.7721372565,36.0,39.6232255124,526.0,139.43457247,30.0,28.9136645896,194.0,82.1583836257,217.0,96.3690821789,193.0,79.737067917,53.0,43.8178046004,0.0,24.4948974278,41.0,44.3283205187,1927.0,211.317296973,45.0,41.400483089,0.0,24.4948974278,0.0,24.4948974278,21.0,27.4954541697,33.0,44.1814440687,74.0,62.7534859589,64.0,44.7437146424,45.0,47.8434948556,624.0,137.934767191,160.0,71.8331399843,261.0,92.16289926,207.0,108.885260711,253.0,92.0814856526,116.0,67.4833312752,0.0,24.4948974278,24.0,33.1360830516
South Oakland,71,1256.0,204.494498703,605.0,135.959552808,11.0,24.269322199,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,14.0,24.9799919936,7.0,20.5182845286,0.0,20.0,145.0,72.8354309385,13.0,21.0713075057,87.0,47.6025209417,56.0,55.3263047744,189.0,88.3685464405,25.0,26.4575131106,40.0,30.7408522979,18.0,23.2379000772,651.0,131.167831421,38.0,39.7869325282,0.0,20.0,0.0,20.0,18.0,33.7786915081,0.0,20.0,0.0,20.0,20.0,32.7414110875,7.0,20.5182845287,128.0,75.3923072999,74.0,52.9339210715,154.0,87.4356906532,11.0,20.8086520467,106.0,46.872166581,59.0,39.5094925302,0.0,20.0,36.0,28.0891438104
South Shore,72,8,9,4,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,0,10,0,10,4,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,0,10,0,10,0,10,0,10
South Side Flats,73,4143.0,420.511593181,2208.0,308.58872306,10.0,26.9258240357,0.0,24.4948974278,10.0,26.9258240357,6.0,25.3771550809,31.0,33.4514573673,8.0,25.8650343127,41.0,43.783558558,11.0,28.0891438104,491.0,161.796168063,111.0,82.5166649835,138.0,82.8613299435,116.0,101.123686642,704.0,171.058469536,250.0,93.3434518324,205.0,74.4983221288,76.0,46.9787185862,1935.0,235.214795452,10.0,27.4954541696,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,20.0,29.3428015022,29.0,32.6496554346,0.0,24.4948974278,588.0,174.556581084,56.0,50.0099990001,55.0,40.3112887416,217.0,92.4662100446,481.0,116.30563185,309.0,103.339247143,98.0,70.5761999544,72.0,46.8294778959
South Side Slopes,74,2991.0,367.422100587,1650.0,243.836010467,7.0,27.276363394,0.0,26.4575131106,0.0,26.4575131106,5.0,25.7681974535,0.0,26.4575131106,7.0,27.7308492477,24.0,35.8468966579,51.0,43.783558558,651.0,157.803675496,56.0,45.7274534606,167.0,85.918566096,169.0,74.8064168371,326.0,106.16967552,98.0,53.9444158371,65.0,55.3985559379,24.0,37.483329628,1341.0,208.980860368,12.0,27.5680975041,0.0,26.4575131106,0.0,26.4575131106,21.0,30.6920185065,12.0,27.6586333719,42.0,36.2215405526,23.0,29.8161030317,11.0,28.7228132327,454.0,127.859297668,91.0,52.0192272145,127.0,78.1536947302,143.0,92.9193198425,237.0,114.450862819,99.0,47.947888379,44.0,39.3700393701,25.0,29.4448637287
Spring Garden,75,595.0,118.713941894,293.0,90.697298747,2.0,11.1803398875,0.0,14.1421356237,0.0,14.1421356237,26.0,36.4005494464,15.0,15.0,18.0,27.8567765544,0.0,14.1421356237,15.0,24.1660919472,135.0,59.4053869611,6.0,14.1421356237,27.0,31.6227766017,21.0,18.0277563773,12.0,16.4012194669,16.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,302.0,58.7962583844,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,19.0,16.4012194669,16.0,15.5563491861,17.0,16.6433169771,21.0,19.7230829233,0.0,14.1421356237,153.0,49.040799341,13.0,18.0277563773,10.0,12.2065556157,26.0,19.1049731745,20.0,20.591260282,7.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237
Spring Hill-City View,76,1615.0,248.054429511,606.0,138.351002888,5.0,18.547236991,10.0,22.1133443875,4.0,17.3205080757,24.0,27.8028775489,0.0,17.3205080757,6.0,18.547236991,7.0,17.9164728672,31.0,29.0,271.0,83.3666600027,9.0,19.2093727123,48.0,34.7706773014,55.0,37.3363094052,91.0,68.5346627627,23.0,24.2280828791,13.0,21.3541565041,9.0,20.6155281281,1009.0,168.318151131,7.0,17.9164728672,0.0,17.3205080757,12.0,23.6854385647,0.0,17.3205080757,9.0,19.8997487421,0.0,17.3205080757,98.0,62.9761859754,6.0,18.547236991,518.0,131.5218613,48.0,34.3802268753,95.0,73.0821455624,52.0,32.403703492,91.0,44.1474801093,73.0,53.9351462406,0.0,17.3205080757,0.0,17.3205080757
Squirrel Hill North,77,5494.0,363.056469436,2654.0,226.316150551,10.0,31.5277655408,0.0,31.6227766016,0.0,31.6227766016,11.0,34.0,3.0,28.6356421266,0.0,31.6227766016,13.0,36.0555127547,11.0,34.4818792991,112.0,63.3876959669,29.0,37.6031913539,165.0,77.5435361587,48.0,54.2033209314,654.0,145.068949124,583.0,119.528239342,594.0,120.884242149,421.0,99.9749968742,2840.0,206.480023246,8.0,32.6955654485,24.0,47.6340214552,18.0,41.0365690573,0.0,31.6227766016,10.0,34.4818792992,12.0,36.0555127547,1.0,30.0665927568,0.0,31.6227766016,217.0,90.0499861188,87.0,51.293274413,174.0,63.827893589,70.0,47.1380949976,692.0,122.995934892,774.0,128.965111561,364.0,102.366986866,389.0,100.523629063
Squirrel Hill South,78,11164.0,636.661605565,5376.0,435.661565897,2.0,34.7706773015,0.0,36.0555127546,4.0,35.7910603363,15.0,41.0365690573,6.0,37.3630833845,17.0,43.8178046003,65.0,60.811183182,0.0,36.0555127546,616.0,190.583315114,110.0,92.5688932633,362.0,141.095712197,216.0,122.225201982,1413.0,231.131996918,1128.0,210.138049861,642.0,141.484981535,780.0,170.276246141,5788.0,387.373205061,7.0,37.3630833845,18.0,45.3100430368,18.0,39.2300904919,40.0,51.739733281,7.0,35.5527776692,25.0,43.0348695828,21.0,41.2916456442,52.0,52.6212884678,762.0,192.106741162,180.0,97.1905345185,348.0,134.517656834,338.0,124.795833264,1528.0,237.326778937,1521.0,215.406592285,312.0,99.0555399764,611.0,152.295764878
St. Clair,79,163,51,89,35,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,12,46,26,3,5,0,10,10,14,8,8,10,16,0,10,0,10,74,34,0,10,0,10,0,10,0,10,6,8,0,10,0,10,0,10,28,25,8,7,3,5,20,19,0,10,9,14,0,10,0,10
Stanton Heights,80,3683.0,306.316829443,1602.0,189.847307065,13.0,23.0867927612,0.0,20.0,0.0,20.0,5.0,20.0,0.0,20.0,30.0,33.0151480384,20.0,28.1602556807,42.0,46.9041575982,457.0,114.878196365,145.0,58.4807660689,231.0,85.2642949891,115.0,54.4701753256,331.0,108.032402547,164.0,69.9213844257,19.0,27.0739727413,30.0,28.0891438103,2081.0,176.847391838,28.0,32.1247568084,0.0,20.0,0.0,20.0,16.0,21.2132034355,16.0,22.4722050542,21.0,27.5136329844,69.0,36.9459064038,15.0,23.5796522451,584.0,124.486947107,113.0,52.9339210715,302.0,98.1325634028,220.0,72.1387551875,392.0,95.7810002036,247.0,88.6002257333,45.0,44.283179651,13.0,20.0499376558
