Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
East Liberty,29,3959.0,346.147367461,1749.0,248.211603275,13.0,30.083217913,22.0,36.0277670694,38.0,41.8688428309,37.0,40.5585995813,69.0,64.4204936337,72.0,57.0175411606,11.0,29.0000000001,28.0,33.4962684489,487.0,158.442418562,84.0,65.9545297914,245.0,103.498792264,109.0,66.9850729641,242.0,88.0340843083,161.0,72.2080327941,72.0,65.7647321898,59.0,39.9374510954,2210.0,229.704157559,12.0,32.0,0.0,28.2842712474,7.0,28.6530975637,84.0,46.8401537146,14.0,35.0570962859,91.0,60.5144610816,11.0,28.6530975638,24.0,30.5450486986,570.0,132.664991614,117.0,58.7367006224,320.0,115.792918608,194.0,93.6322593981,492.0,128.984495193,233.0,82.6619622318,17.0,32.5729949499,24.0,31.0644491339
Elliott,30,1485.0,219.804458553,709.0,140.149919728,17.0,21.2837966538,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,13.0,24.4948974278,6.0,17.3205080757,0.0,17.3205080757,17.0,22.8910462845,338.0,100.826583796,37.0,36.7287353444,66.0,42.6380112107,112.0,64.5445582525,55.0,38.3405790254,48.0,34.5543050864,0.0,17.3205080757,0.0,17.3205080757,776.0,122.694743164,8.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,17.0,22.360679775,0.0,17.3205080757,20.0,22.9128784748,47.0,36.235341864,43.0,29.7489495613,277.0,87.0861642283,26.0,30.2985148151,111.0,61.5629758864,113.0,52.7730992078,81.0,59.4474557908,13.0,25.3179778023,11.0,22.1133443875,9.0,19.2093727123
Esplen,31,235,89,146,61,0,10,0,10,0,10,0,10,5,9,0,10,7,11,0,10,70,52,30,29,23,34,0,10,0,10,11,16,0,10,0,10,89,37,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,66,33,0,10,0,10,11,15,12,19,0,10,0,10,0,10
Fairywood,32,823,211,391,133,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,106,68,14,17,60,48,7,12,121,69,83,89,0,10,0,10,432,121,26,43,12,30,0,10,0,10,0,10,0,10,0,10,0,10,94,65,10,14,38,37,32,24,199,90,9,13,0,10,12,18
Fineview,33,930.0,209.124364912,398.0,121.671689394,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,4.0,11.6619037897,4.0,12.8062484749,0.0,14.1421356237,34.0,49.0306026885,0.0,14.1421356237,131.0,76.3216876124,14.0,19.7230829233,81.0,60.811183182,79.0,44.6542271235,38.0,27.8567765544,13.0,13.416407865,0.0,14.1421356237,0.0,14.1421356237,532.0,122.6743657,6.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,12.2065556157,35.0,44.1474801093,13.0,15.6204993518,0.0,14.1421356237,232.0,93.3488082409,46.0,45.1220566907,87.0,47.5078940809,45.0,50.9901951359,21.0,18.6010752377,39.0,38.3275357935,0.0,14.1421356237,3.0,11.6619037897
Friendship,34,1447.0,217.092146334,700.0,140.929060169,0.0,14.1421356237,38.0,61.8142378421,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,14.0,23.2594066992,121.0,71.3442359269,13.0,25.079872408,22.0,23.4307490277,10.0,18.0277563773,183.0,89.8721313868,205.0,107.042047813,22.0,25.6124969497,72.0,38.2099463491,747.0,155.080624193,14.0,25.079872408,0.0,14.1421356237,0.0,14.1421356237,17.0,26.2488094968,0.0,14.1421356237,8.0,21.4709105536,15.0,26.0,0.0,14.1421356237,83.0,59.0338885726,0.0,14.1421356237,97.0,63.5059052372,64.0,69.7208720542,210.0,103.247275993,155.0,58.6941223633,28.0,33.1058907145,56.0,60.440052945
Garfield,35,2330.0,252.105136799,890.0,141.605084654,2.0,20.3960780543,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,39.0,37.8417758569,0.0,22.360679775,22.0,24.5356882928,6.0,19.3390796058,387.0,93.8189746267,59.0,34.088121098,207.0,78.4091831357,32.0,22.9346898824,95.0,74.222638056,20.0,21.0950231097,5.0,21.5406592285,16.0,23.0651251893,1440.0,176.51062291,10.0,25.0,6.0,21.9317121994,0.0,22.360679775,21.0,31.2409987036,24.0,28.6530975638,80.0,47.9270278653,77.0,46.8934963508,18.0,24.269322199,422.0,107.563934476,99.0,47.8434948556,391.0,117.311551008,141.0,54.4609952168,67.0,38.8072158239,53.0,42.332020977,22.0,24.3926218353,9.0,26.2488094968
Glen Hazel,36,501,252,168,118,5,9,0,10,24,53,5,10,4,9,9,18,4,9,14,21,98,69,0,10,0,10,5,9,0,10,0,10,0,10,0,10,333,152,17,21,0,10,0,10,25,53,0,10,22,26,12,19,20,22,95,75,27,26,56,54,40,41,8,13,11,18,0,10,0,10
Greenfield,37,5691.0,478.926925532,2667.0,287.734252393,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,7.0,30.7245829915,59.0,48.6415460281,0.0,29.9999999999,8.0,30.7245829915,691.0,176.980224884,227.0,107.335921294,244.0,101.916632597,226.0,105.223571504,581.0,162.981594053,368.0,133.259146027,98.0,60.2826674924,158.0,78.5557127139,3024.0,277.110086429,41.0,49.2036584006,0.0,29.9999999999,12.0,34.6410161514,9.0,31.5594676761,44.0,56.2583327161,22.0,35.2845575287,45.0,57.8100337312,12.0,33.5261092286,842.0,183.133830846,232.0,101.247222184,187.0,83.9880943943,109.0,60.8769250208,722.0,182.499315067,610.0,165.975901865,49.0,48.4252000513,88.0,79.1264810288
Hays,38,277,68,117,38,0,10,0,10,0,10,0,10,2,4,0,10,0,10,4,6,55,28,3,5,15,15,28,29,10,10,0,10,0,10,0,10,160,45,0,10,0,10,0,10,0,10,0,10,10,12,0,10,0,10,83,32,26,25,10,10,31,25,0,10,0,10,0,10,0,10
Hazelwood,39,3018.0,394.932905694,1402.0,254.100373869,18.0,30.1662062581,0.0,26.4575131106,14.0,32.2645316098,18.0,35.721142199,0.0,26.4575131106,56.0,49.9699909946,77.0,54.9545266562,33.0,38.4057287394,526.0,144.917217748,34.0,36.3455636907,272.0,113.43279949,148.0,90.5980132233,100.0,56.8154908453,61.0,45.4642716867,5.0,25.4754784057,40.0,57.4804314528,1616.0,222.903566594,0.0,26.4575131106,0.0,26.4575131106,7.0,26.4575131106,10.0,28.2134719593,20.0,31.7017349683,23.0,37.9605057922,119.0,87.1435597162,27.0,33.1209903233,548.0,123.685083983,141.0,71.1477336252,240.0,119.929145749,218.0,96.5246082613,181.0,67.6091709755,66.0,44.1588043316,12.0,32.9241552663,4.0,25.4754784057
Highland Park,40,4674.0,481.203699071,2090.0,285.489054081,10.0,28.4956136975,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,9.0,30.9192496674,12.0,33.1662479035,11.0,30.4138126515,426.0,169.952934662,125.0,75.4983443526,223.0,122.008196446,121.0,81.3265024454,455.0,128.829344482,350.0,119.431989015,183.0,80.5170789336,165.0,70.8096038684,2584.0,296.823179688,2.0,26.7581763204,0.0,28.2842712474,0.0,28.2842712474,18.0,37.8021163429,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,33.0,52.8393792545,528.0,159.671537852,49.0,43.874821937,136.0,64.0156230931,239.0,116.322826651,778.0,192.296645836,486.0,133.734812221,134.0,73.0958275144,181.0,88.1022133661
Homewood North,41,1775.0,204.075966248,654.0,131.61686822,7.0,21.9317121995,0.0,22.360679775,0.0,22.360679775,5.0,21.5406592285,6.0,22.360679775,31.0,36.8917334914,0.0,22.360679775,34.0,37.2558720203,310.0,106.77078252,39.0,38.9871773792,98.0,48.259714048,21.0,26.4575131106,61.0,41.797129088,42.0,42.4852915725,0.0,22.360679775,0.0,22.360679775,1121.0,140.53113534,11.0,20.7364413533,0.0,22.360679775,11.0,25.6124969496,35.0,37.9209704517,12.0,21.5406592285,40.0,32.5269119346,26.0,24.2280828792,16.0,20.0,314.0,79.8874207869,86.0,52.2015325446,256.0,84.640415878,140.0,56.3471383479,103.0,51.5751878329,66.0,32.2180073872,0.0,22.360679775,5.0,21.1896201004
Homewood South,42,1450.0,172.59200445,524.0,111.216006042,13.0,21.5870331449,0.0,24.4948974278,0.0,24.4948974278,6.0,24.1039415864,5.0,23.7486841741,2.0,23.1516738056,23.0,38.2230297072,44.0,43.4741302386,214.0,86.7928568489,31.0,28.9136645896,90.0,57.105166141,9.0,26.9258240357,64.0,32.0624390838,23.0,29.0172362571,0.0,24.4948974278,0.0,24.4948974278,926.0,122.788435938,7.0,22.0227155455,0.0,24.4948974278,0.0,24.4948974278,9.0,27.4954541697,36.0,37.5898922585,55.0,40.8166632639,13.0,26.3058928759,34.0,27.9463772249,335.0,90.4157066002,34.0,30.0499584026,150.0,63.0634601018,101.0,39.6988664826,56.0,32.8024389337,74.0,45.0555213043,15.0,26.9258240357,7.0,24.4948974278
